3747	William Henry Gates III (born October 28, 1955) is a co-founder of Microsoft and is an American business magnate, investor, author and philanthropist. In 1975, Gates and Paul Allen launched Microsoft, which became the world's largest PC software company. During his career at Microsoft, Gates held the positions of chairman, CEO and chief software architect, while also being the largest individual shareholder until May 2014. Gates stepped down as chief executive officer of Microsoft in January 2000, but he remained as chairman and created the position of chief software architect for himself. In June 2006, Gates announced that he would be transitioning from full-time work at Microsoft to part-time work and full-time work at the Bill & Melinda Gates Foundation. He gradually transferred his duties to Ray Ozzie and Craig Mundie. He stepped down as chairman of Microsoft in February 2014 and assumed a new post as technology adviser to support the newly appointed CEO Satya Nadella. Gates is one of the best-known entrepreneurs of the personal computer revolution. He has been criticized for his business tactics, which have been considered anti-competitive. This opinion has been upheld by numerous court rulings. Later in his career, Gates pursued a number of philanthropic endeavors. He donated large amounts of money to various charitable organizations and scientific research programs through the Bill & Melinda Gates Foundation, which was established in 2000. Since 1987, Gates has been included in the Forbes list of the world's wealthiest people. As of July 2017, he is the richest person in the world, with an estimated net worth of US$89.9 billion. In 2009, Gates and Warren Buffett founded The Giving Pledge, whereby they and other billionaires pledge to give at least half of their wealth to philanthropy. Gates was born in Seattle, Washington on October 28, 1955. He is the son of William H. Gates Sr. (born 1925) and Mary Maxwell Gates (1929–1994). His ancestry includes English, German, Irish, and Scots-Irish. His father was a prominent lawyer, and his mother served on the board of directors for First Interstate BancSystem and the United Way. Gates' maternal grandfather was JW Maxwell, a national bank president. Gates has one elder sister, Kristi (Kristianne), and one younger sister, Libby. He is the fourth of his name in his family, but is known as William Gates III or "Trey" because his father had the "II" suffix. Early on in his life, Gates' parents had a law career in mind for him. When Gates was young, his family regularly attended a church of the Congregational Christian Churches, a Protestant Reformed denomination. The family encouraged competition; one visitor reported that "it didn't matter whether it was hearts or pickleball or swimming to the dock ... there was always a reward for winning and there was always a penalty for losing". At 13, he enrolled in the Lakeside School, a private preparatory school. When he was in the eighth grade, the Mothers' Club at the school used proceeds from Lakeside School's rummage sale to buy a Teletype Model 33 ASR terminal and a block of computer time on a General Electric (GE) computer for the school's students. Gates took an interest in programming the GE system in BASIC, and was excused from math classes to pursue his interest. He wrote his first computer program on this machine: an implementation of tic-tac-toe that allowed users to play games against the computer. Gates was fascinated by the machine and how it would always execute software code perfectly. When he reflected back on that moment, he said, "There was just something neat about the machine." After the Mothers Club donation was exhausted, he and other students sought time on systems including DEC PDP minicomputers. One of these systems was a PDP-10 belonging to Computer Center Corporation (CCC), which banned four Lakeside students – Gates, Paul Allen, Ric Weiland, and Kent Evans – for the summer after it caught them exploiting bugs in the operating system to obtain free computer time. At the end of the ban, the four students offered to find bugs in CCC's software in exchange for computer time. Rather than use the system via Teletype, Gates went to CCC's offices and studied source code for various programs that ran on the system, including programs in Fortran, Lisp, and machine language. The arrangement with CCC continued until 1970, when the company went out of business. The following year, Information Sciences, Inc. hired the four Lakeside students to write a payroll program in COBOL, providing them computer time and royalties. After his administrators became aware of his programming abilities, Gates wrote the school's computer program to schedule students in classes. He modified the code so that he was placed in classes with "a disproportionate number of interesting girls." He later stated that "it was hard to tear myself away from a machine at which I could so unambiguously demonstrate success." At age 17, Gates formed a venture with Allen, called Traf-O-Data, to make traffic counters based on the Intel 8008 processor. In early 1973, Bill Gates served as a congressional page in the U.S. House of Representatives. Gates graduated from Lakeside School in 1973 and was a National Merit Scholar. He scored 1590 out of 1600 on the Scholastic Aptitude Tests (SAT) and enrolled at Harvard College in the autumn of 1973. He chose a pre-law major but took mathematics and graduate level computer science courses. While at Harvard, he met fellow student Steve Ballmer. Gates left Harvard after two years while Ballmer would stay and graduate magna cum laude. Years later, Ballmer succeeded Gates as Microsoft's CEO; maintaining that office from 2000, until he resigned from the company in 2014. In his second year, Gates devised an algorithm for pancake sorting as a solution to one of a series of unsolved problems presented in a combinatorics class by Harry Lewis, one of his professors. Gates' solution held the record as the fastest version for over thirty years; its successor is faster by only one percent. His solution was later formalized in a published paper in collaboration with Harvard computer scientist Christos Papadimitriou. Gates did not have a definite study plan while he was a student at Harvard and spent a lot of time using the school's computers. Gates remained in contact with Paul Allen, and he joined him at Honeywell during the summer of 1974. The following year saw the release of the MITS Altair 8800 based on the Intel 8080 CPU, and Gates and Allen saw this as the opportunity to start their own computer software company. Gates dropped out of Harvard at this time. He had talked this decision over with his parents, who were supportive of him after seeing how much Gates wanted to start his own company. Gates explained his official status with Harvard that, "...if things [Microsoft] hadn't worked out, I could always go back to school. I was officially on [a] leave [of absence]." Gates married Melinda French in Hawaii on January 1, 1994; he was 38 and she was 29. They have three children: Jennifer Katharine (b. 1996), Rory John (b. 1999), and Phoebe Adele (b. 2002). The family resides in a modern design mansion, which is an earth-sheltered house in the side of a hill overlooking Lake Washington in Medina near Seattle in the state of Washington, United States. According to 2007 King County public records, the total assessed value of the property (land and house) is $125 million, and the annual property taxes are $991,000. The 66,000 sq ft (6,100 m2) estate has a 60-foot (18 m) swimming pool with an underwater music system, as well as a 2,500 sq ft (230 m2) gym and a 1,000 sq ft (93 m2) dining room. In an interview with Rolling Stone, Gates stated in regard to his faith: The moral systems of religion, I think, are super important. We've raised our kids in a religious way; they've gone to the Catholic church that Melinda goes to and I participate in. I've been very lucky, and therefore I owe it to try and reduce the inequity in the world. And that's kind of a religious belief. I mean, it's at least a moral belief. In the same interview, Gates said: "I agree with people like Richard Dawkins that mankind felt the need for creation myths. Before we really began to understand disease and the weather and things like that, we sought false explanations for them. Now science has filled in some of the realm – not all – that religion used to fill. But the mystery and the beauty of the world is overwhelmingly amazing, and there's no scientific explanation of how it came about. To say that it was generated by random numbers, that does seem, you know, sort of an uncharitable view [laughs]. I think it makes sense to believe in God, but exactly what decision in your life you make differently because of it, I don't know." One of Gates' private acquisitions is the Codex Leicester, which is a collection of writings by Leonardo da Vinci that Gates bought for $30.8 million at an auction in 1994. Gates is also known as an avid reader, and the ceiling of his large home library is engraved with a quotation from The Great Gatsby. He also enjoys playing bridge, tennis, and golf. In 1999, his wealth briefly surpassed $101 billion, which caused the media to call Gates a "centibillionaire". Despite his wealth and extensive business travel, Gates usually flew coach until 1997, when he bought a private jet. Since 2000, the nominal value of his Microsoft holdings has declined due to a fall in Microsoft's stock price after the dot-com bubble burst and the multibillion-dollar donations he has made to his charitable foundations. In a May 2006 interview, Gates commented that he wished that he were not the richest man in the world because he disliked the attention it brought. In March 2010, Gates was the second wealthiest person behind Carlos Slim, but regained the top position in 2013, according to the Bloomberg Billionaires List. Carlos Slim retook the position again in June 2014 (but then lost the top position back to Gates). Between 2009 and 2014, his wealth doubled from US$40 billion to more than US$82 billion. Gates has several investments outside Microsoft, which in 2006 paid him a salary of $616,667 and $350,000 bonus totalling $966,667. In 1989, he founded Corbis, a digital imaging company. In 2004, he became a director of Berkshire Hathaway, the investment company headed by long-time friend Warren Buffett. In 2016, he revealed that he was color-blind when discussing his gaming habits.
6874275	Sven Leuenberger (born 25 August 1969 in Niederuzwil, Switzerland) is a retired Swiss professional ice hockey Defender. Playing in the NLA-A, Leuenberger accumulated 74 goals, 173 assists, and 443 penalty minutes in the regular season. Since the NLA 2006 season, Leuenberger has been the General Manager (sports director) of the SC Bern. On 1 August 2008 SC Bern's coach suffered, John van Boxmeer, a heart attack side-lining him for a month. During van Boxmeer’s absence, General Manager Sven Leuenberger coached the team along with assistant coach Konstantin Kurashev.
1817380	Pope Michael III of Alexandria (also known as Khail III) was the Coptic Pope of Alexandria and Patriarch of the See of St. Mark (880–907). In 882, the governor of Egypt, Ahmad ibn Tulun, forced Khail to pay heavy contributions, forcing him to sell a church and some attached properties to the local Jewish community. This building was at one time believed to have later become the site of the Cairo Geniza.
38307855	Hui Jun is a male former table tennis player from China.
11317608	Okan Öztürk (born 30 November 1977) is a former Turkish professional footballer. He played as a striker.
43365984	Marie Stephan, (born March 14, 1996) is a professional squash player who represents France. She reached a career-high world ranking of World No. 77 in January 2016.
25502045	Leonard L. Martino is a former Democratic member of the Pennsylvania House of Representatives. He was born in Butler to Michael and Angela Pitullio Martino.
639499	Salome Jens (born May 8, 1935) is an American stage, film and television actress. She is perhaps best known for portraying the Female Changeling on Star Trek: Deep Space Nine in the 1990s.
692922	Carl Demonte Crawford (born August 5, 1981), nicknamed "The Perfect Storm", is an American former professional baseball player. He bats and throws left-handed. Crawford was drafted by the Tampa Bay Devil Rays in the second round (52nd overall) of the 1999 Major League Baseball draft. He played in Major League Baseball (MLB) for the Rays, Boston Red Sox and Los Angeles Dodgers. When he last played, Crawford had more triples (123) than any other active baseball player. Crawford is a native of the Fifth Ward area of Houston. He participated in the Reviving Baseball in Inner Cities program, and attended Jefferson Davis High School in Houston, Texas, and was a letterman in football, basketball, and baseball. As a child, he was on the same little league team as Michael Bourn, who would become a star for the Houston Astros and the Atlanta Braves. In high school baseball, he began working with former #1 pick Willie Ansley after his sophomore year.He batted .638 as a senior. In the summer of his junior year in high school coach Ansley advised him to get on a team that played in the same tournaments that Josh Beckett played in so he could be seen by the pro scouts and Crawford joined the Pasadena Stars select baseball team. It was there that he gained his first real exposure to Major League Baseball scouts. So intent on capitalizing on this exposure, he was advised by coach Ansley to skip basketball his senior year to concentrate on baseball so that his knees would be fresh from the beginning of the season. Crawford was offered scholarships to play basketball as a point guard at UCLA. He also had an option to play college football as an option quarterback at Nebraska, USC, Oklahoma, Florida, and Tulsa. He had originally signed a letter of intent to play football for Nebraska but he turned down both offers in favor of a baseball career. Crawford's cousin, J. P. Crawford, also plays baseball. He was drafted by the Philadelphia Phillies in the 1st round of the 2013 MLB draft, 16th overall. In December 2013, Crawford announced his engagement to Evelyn Lozada. Crawford has a son with Lozada and two children from a previous relationship. In August 2017, the couple called off the engagement.
1727482	James Robert Morrison (born 22 November 1960), known as Jim Bob, is a British musician and author, best known as the singer of indie punk band Carter USM. Jim Bob played in various bands during the late 1970s and early 1980s, one of which was Jamie Wednesday who were performing between 1984 and 1987. In 1987 Jamie Wednesday split up just before a gig at the London Astoria. Morrison and Les "Fruitbat" Carter filled in, playing along to a backing tape, and Carter USM was born. In fact, Jim and Les had known each other since the late 1970s, when their bands The Ballpoints (featuring Jim on vocals) and Dead Clergy (Les on bass and vocals) used to rehearse at the same studio behind Streatham station. When The Ballpoints' bassist quit at the end of 1980, Les joined the band, who then went on to play several gigs under the name of Peter Pan's Playground. In Carter USM Jim Bob had 12 top 40 singles, 4 top ten albums (including a number one) and played over 800 gigs all over the world as lead singer of the band. The band split up in 1997. Since Carter USM, Jim Bob has released two albums and three singles with his disco-pop-punk group Jim's Super Stereoworld, four solo albums as Jim Bob or James Robert Morrison and played various live shows both with his band and solo. In 2001 he joined his old Carter bandmate Fruitbat onstage once again as part of the group Who's The Daddy Now?. Jim Bob currently tours as a solo artist playing both Carter songs and his solo material. His Goodnight Jim Bob – On The Road With Carter The Unstoppable Sex Machine autobiography was published by Cherry Red Books in May 2004 to critical acclaim. Jim Bob's album Angelstrike, was released on 22 November 2004. In 2005, Cherry Red released a DVD of a live solo acoustic performance titled Live From London featuring songs from throughout his solo career as well as many Carter USM tracks. This was followed by a concept album entitled School, which was released in March 2006, brought forward after a leak to the internet. A "Best of" album was released in the autumn of 2006, accompanied by a UK tour. This release was originally intended to be a download only release, but a physical CD was produced. The album was accompanied by a free CD of Jim Bob and Jim's Super Stereoworld rarities. The cover design was re-worked by Jim Bob from an image by Jim Connolly. Jim Bob contributed two songs to Mark Ravenhill's Barbican's 2006/7 Pantomime, Dick Whittington, "The Lord Major's show" and "The Victory of Evil Song". The album A Humpty Dumpty Thing was released in November 2007 by Cherry Red records. The album came with a Jim Bob penned mini novel called "Word Count". A single from the album "Battling The Bottle" was released with Jim Bob's reworking of the children's song "The Wheels on the Bus" on the B-side. Jim Bob's next solo record was called Goffam. It was another concept album about a city in the grip of crime, deserted by its superheroes. He toured the UK in April and September 2009 promoting the album. In December 2009 Jim Bob performed his 2004 song "Angelstrike!" as part of The Return of 9 Lessons and Carols for Godless People shows for two nights at the Bloomsbury Theatre and at Hammersmith Apollo. His short story "Word Count" has been optioned by Untold Pictures in light of turning it into a feature film. Jim Bob was also commissioned to write the screenplay. His debut novel Storage Stories was self-published on the day of the UK General Election 6 May 2010 by Ten Forty Books.
